Name,Height(cm),Team,Year
Dan Burn,201,Newcastle United,2024
Fraser Forster,201,Tottenham Hotspur,2024
Altay Bayındır,198,Manchester United,2024
Wayne Hennessey,198,Nottingham Forest,2024
Aro Murić,198,Burnley FC,2024
Nick Pope,198,Newcastle United,2024
Jordan Amissah,197,Sheffield United,2024
 Robert Sánchez,197,Chelsea FC,2024
James Trafford,197,Burnley FC,2024
Tosin Adarabioyo,196,Fulham FC,2024
Kristoffer Ajer,196,Brentford FC,2024
Tyrone Mings,196,Aston Villa,2024
Robin Olsen,196,Aston Villa,2024
Tyler Onyango,196,Everton FC,2024
Alphonse Aréola,195,West Ham United,2024
Sander Berge,195,Burnley FC,2024
Willy Boly,195,Nottingham Forest,2024
Sven Botman,195,Newcastle United,2024
Jarrad Branthwaite,195,Everton FC,2024
Ivo Grbić,195,Sheffield United,2024
James Huntley,195,Newcastle United,2024
Emiliano Martínez,195,Aston Villa,2024
Joel Matip,195,Liverpool FC,2024
Amadou Onana,195,Everton FC,2024
Hákon Valdimarsson,195,Brentford FC,2024
Rhys Williams,195,Liverpool FC,2024
Mads Andersen,194,Luton Town,2024
Benoît Badiashile,194,Chelsea FC,2024
 Beto,194,Everton FC,2024
Issa Diop,194,Fulham FC,2024
Mark Flekken,194,Brentford FC,2024
Joe Gauci,194,Aston Villa,2024
Erling Haaland,194,Manchester City,2024
Maximilian Kilman,194,Wolverhampton Wanderers,2024
Ibrahima Konaté,194,Liverpool FC,2024
Harry Maguire,194,Manchester United,2024
Konstantinos Mavropanos,194,West Ham United,2024
Đorđe Petrović,194,Chelsea FC,2024
Marek Rodák,194,Fulham FC,2024
Guglielmo Vicario,194,Tottenham Hotspur,2024
Lawrence Vigouroux,194,Burnley FC,2024
Elijah Adebayo,193,Luton Town,2024
Daniel Bentley,193,Wolverhampton Wanderers,2024
Marcus Bettinelli,193,Chelsea FC,2024
Philip Billing,193,AFC Bournemouth,2024
Nathan Collins,193,Brentford FC,2024
Kai Havertz,193,Arsenal FC,2024
Karl Hein,193,Arsenal FC,2024
Sam Johnstone,193,Crystal Palace,2024
Andy Lonergan,193,Everton FC,2024
Micky van de Ven,193,Tottenham Hotspur,2024
Virgil van Dijk,193,Liverpool FC,2024
Bart Verbruggen,193,Brighton & Hove Albion,2024
Joachim Andersen,192,Crystal Palace,2024
Steven Benda,192,Fulham FC,2024
Santiago Bueno,192,Wolverhampton Wanderers,2024
Trevoh Chalobah,192,Chelsea FC,2024
Lewis Dunk,192,Brighton & Hove Albion,2024
Maxime Estève,192,Burnley FC,2024
Travis Hernes,192,Newcastle United,2024
Alexander Isak,192,Newcastle United,2024
 João Virgínia,192,Everton FC,2024
 José Sá,192,Wolverhampton Wanderers,2024
Willy Kambwala,192,Manchester United,2024
Jacob Knightbridge,192,West Ham United,2024
Jean-Philippe Mateta,192,Crystal Palace,2024
Remi Matthews,192,Crystal Palace,2024
Fabian Mrozek,192,Liverpool FC,2024
William Saliba,192,Arsenal FC,2024
Tomáš Souček,192,West Ham United,2024
James Tomkins,192,Crystal Palace,2024
Joe Whitworth,192,Crystal Palace,2024
 Alisson Becker,191,Liverpool FC,2024
Armando Broja,191,Fulham FC,2024
Radu Drăgușin,191,Tottenham Hotspur,2024
Martin Dúbravka,191,Newcastle United,2024
Mark Gillespie,191,Newcastle United,2024
Harvey Griffiths,191,Wolverhampton Wanderers,2024
Kortney Hause,191,Aston Villa,2024
Rasmus Højlund,191,Manchester United,2024
Loris Karius,191,Newcastle United,2024
Omari Kellyman,191,Aston Villa,2024
Scott McTominay,191,Manchester United,2024
Chris Mepham,191,AFC Bournemouth,2024
Jakub Moder,191,Brighton & Hove Albion,2024
Angelo Ogbonna,191,West Ham United,2024
Temple Ojinnaka,191,Wolverhampton Wanderers,2024
 Pau Torres,191,Aston Villa,2024
 Rodri,191,Manchester City,2024
Ibrahim Sangaré,191,Nottingham Forest,2024
Sil Swinkels,191,Aston Villa,2024
Mark Travers,191,AFC Bournemouth,2024
Auston Trusty,191,Sheffield United,2024
Matt Turner,191,Nottingham Forest,2024
Lesley Ugochukwu,191,Chelsea FC,2024
Raphaël Varane,191,Manchester United,2024
Adam Webster,191,Brighton & Hove Albion,2024
Chris Wood,191,Nottingham Forest,2024
 Adrián,190,Liverpool FC,2024
Nayef Aguerd,190,West Ham United,2024
Anel Ahmedhodžić,190,Sheffield United,2024
Joseph Anang,190,West Ham United,2024
Ellery Balcombe,190,Brentford FC,2024
Chris Basham,190,Sheffield United,2024
Ted Curd,190,Chelsea FC,2024
Axel Disasi,190,Chelsea FC,2024
Łukasz Fabiański,190,West Ham United,2024
 Felipe Monteiro,190,Nottingham Forest,2024
 Gabriel Magalhães,190,Arsenal FC,2024
Ryan Gravenberch,190,Liverpool FC,2024
Benjamin Jackson,190,Brighton & Hove Albion,2024
Daniel Jebbison,190,Sheffield United,2024
Raúl Jiménez,190,Fulham FC,2024
 João Palhinha,190,Fulham FC,2024
Thomas Kaminski,190,Luton Town,2024
Lloyd Kelly,190,AFC Bournemouth,2024
Bernd Leno,190,Fulham FC,2024
 Neto,190,AFC Bournemouth,2024
Moussa Niakhaté,190,Nottingham Forest,2024
Andrew Omobamidele,190,Nottingham Forest,2024
André Onana,190,Manchester United,2024
Jarell Quansah,190,Liverpool FC,2024
Aaron Ramsdale,190,Arsenal FC,2024
Devan Tanton,190,Fulham FC,2024
Adam Wharton,190,Crystal Palace,2024
Ryan Yates,190,Nottingham Forest,2024
Nicolò Zaniolo,190,Aston Villa,2024
Kurt Zouma,190,West Ham United,2024
Vincent Angelini,189,Brentford FC,2024
Reece Burke,189,Luton Town,2024
Dominic Calvert-Lewin,189,Everton FC,2024
True Grant,189,Manchester City,2024
Ayden Heaven,189,Arsenal FC,2024
Rob Holding,189,Crystal Palace,2024
Fletcher Holman,189,Wolverhampton Wanderers,2024
Leigh Kavanagh,189,Brighton & Hove Albion,2024
Ji-soo Kim,189,Brentford FC,2024
Jakub Kiwior,189,Arsenal FC,2024
Cheikhou Kouyaté,189,Nottingham Forest,2024
Dara O'Shea,189,Burnley FC,2024
Divock Origi,189,Nottingham Forest,2024
Nathan Patterson,189,Everton FC,2024
Teddy Sharman-Lowe,189,Chelsea FC,2024
Jan Paul van Hecke,189,Brighton & Hove Albion,2024
Alfie Whiteman,189,Tottenham Hotspur,2024
 Zanka,189,Brentford FC,2024
Dele Alli,188,Everton FC,2024
 André Gomes,188,Everton FC,2024
Brandon Austin,188,Tottenham Hotspur,2024
Anis Ben Slimane,188,Sheffield United,2024
Scott Carson,188,Manchester City,2024
Jayden Danns,188,Liverpool FC,2024
Craig Dawson,188,Wolverhampton Wanderers,2024
Evan Easton,188,Sheffield United,2024
 Ederson,188,Manchester City,2024
Hjalmar Ekdal,188,Burnley FC,2024
Jonny Evans,188,Manchester United,2024
Joe Gomez,188,Liverpool FC,2024
Adam Harrison,188,Newcastle United,2024
Tom Heaton,188,Manchester United,2024
Dean Henderson,188,Crystal Palace,2024
Michael Keane,188,Everton FC,2024
Caoimhín Kelleher,188,Liverpool FC,2024
Tim Krul,188,Luton Town,2024
Levi Laing,188,West Ham United,2024
Jamaal Lascelles,188,Newcastle United,2024
Oliver McBurnie,188,Sheffield United,2024
James McConnell,188,Liverpool FC,2024
 Murillo,188,Nottingham Forest,2024
Ionuț Radu,188,AFC Bournemouth,2024
Darren Randolph,188,AFC Bournemouth,2024
Chris Richards,188,Crystal Palace,2024
Matz Sels,188,Nottingham Forest,2024
Jason Steele,188,Brighton & Hove Albion,2024
John Stones,188,Manchester City,2024
Zak Sturge,188,Chelsea FC,2024
Jimi Tauriainen,188,Chelsea FC,2024
Takehiro Tomiyasu,188,Arsenal FC,2024
Odisseas Vlachodimos,188,Nottingham Forest,2024
James Wright,188,Aston Villa,2024
Manuel Akanji,187,Manchester City,2024
Ameen Al-Dakhil,187,Burnley FC,2024
Edson Álvarez,187,West Ham United,2024
Rodrigo Bentancur,187,Tottenham Hotspur,2024
Jordan Beyer,187,Burnley FC,2024
Carney Chukwuemeka,187,Chelsea FC,2024
Regan Clayton,187,West Ham United,2024
Levi Colwill,187,Chelsea FC,2024
 Deivid Washington,187,Chelsea FC,2024
Joshua Duffus,187,Brighton & Hove Albion,2024
Odsonne Édouard,187,Crystal Palace,2024
Benjamin Fredrick,187,Brentford FC,2024
Cody Gakpo,187,Liverpool FC,2024
Mason Holgate,187,Sheffield United,2024
 João Pedro,187,Brighton & Hove Albion,2024
Victor Lindelöf,187,Manchester United,2024
Max Merrick,187,Chelsea FC,2024
Christian Nørgaard,187,Brentford FC,2024
Darwin Núñez,187,Liverpool FC,2024
Odel Offiah,187,Brighton & Hove Albion,2024
Lewis Orford,187,West Ham United,2024
Ethan Pinnock,187,Brentford FC,2024
Morgan Rogers,187,Aston Villa,2024
 Rúben Dias,187,Manchester City,2024
Dominic Solanke,187,AFC Bournemouth,2024
 Toti,187,Wolverhampton Wanderers,2024
Destiny Udogie,187,Tottenham Hotspur,2024
Enes Ünal,187,AFC Bournemouth,2024
 Vinicius Souza,187,Sheffield United,2024
Ethan Wheatley,187,Manchester United,2024
 Youssef Chermiti,187,Everton FC,2024
Ilya Zabarnyi,187,AFC Bournemouth,2024
Leon Chiwome,186,Wolverhampton Wanderers,2024
Billy Crellin,186,Everton FC,2024
Matt Doherty,186,Wolverhampton Wanderers,2024
Wesley Fofana,186,Chelsea FC,2024
Nathan Fraser,186,Wolverhampton Wanderers,2024
James Garner,186,Everton FC,2024
Jóhann Guðmundsson,186,Burnley FC,2024
Nicolas Jackson,186,Chelsea FC,2024
 Joelinton,186,Newcastle United,2024
Tom King,186,Wolverhampton Wanderers,2024
Dejan Kulusevski,186,Tottenham Hotspur,2024
Clément Lenglet,186,Aston Villa,2024
Teden Mengi,186,Luton Town,2024
 Michael Dacosta Gonzalez,186,AFC Bournemouth,2024
Amara Nallo,186,Liverpool FC,2024
Tim Ream,186,Fulham FC,2024
Fabian Schär,186,Newcastle United,2024
James Shea,186,Luton Town,2024
Thomas Strakosha,186,Brentford FC,2024
Dominik Szoboszlai,186,Liverpool FC,2024
Franco Umeh,186,Crystal Palace,2024
Joel Ward,186,Crystal Palace,2024
Ben White,186,Arsenal FC,2024
Joe White,186,Newcastle United,2024
Joe Willock,186,Newcastle United,2024
Josh Acheampong,185,Chelsea FC,2024
Max Alleyne,185,Manchester City,2024
Zeki Amdouni,185,Burnley FC,2024
Stefan Bajčetić,185,Liverpool FC,2024
Ross Barkley,185,Luton Town,2024
Calvin Bassey,185,Fulham FC,2024
Ben Brereton,185,Sheffield United,2024
Joshua Brooking,185,Chelsea FC,2024
Tom Cairney,185,Fulham FC,2024
Cesare Casadei,185,Chelsea FC,2024
 Casemiro,185,Manchester United,2024
Kaelan Casey,185,West Ham United,2024
Matty Cash,185,Aston Villa,2024
Timothy Castagne,185,Fulham FC,2024
Tahith Chong,185,Luton Town,2024
Jack Cork,185,Burnley FC,2024
Sam Curtis,185,Sheffield United,2024
Adam Davies,185,Sheffield United,2024
Hannes Delcroix,185,Burnley FC,2024
 Diego Carlos,185,Aston Villa,2024
Jhon Durán,185,Aston Villa,2024
John Egan,185,Sheffield United,2024
Wes Foderingham,185,Sheffield United,2024
Lyle Foster,185,Burnley FC,2024
Joško Gvardiol,185,Manchester City,2024
Aidan Harris,185,Newcastle United,2024
Aaron Hickey,185,Brentford FC,2024
Pierre-Emile Højbjerg,185,Tottenham Hotspur,2024
Will Hughes,185,Crystal Palace,2024
Curtis Jones,185,Liverpool FC,2024
Tom Lockyer,185,Luton Town,2024
Thomas McGill,185,Brighton & Hove Albion,2024
Lewis Miley,185,Newcastle United,2024
Carlton Morris,185,Luton Town,2024
Fred Onyedinma,185,Luton Town,2024
Stefan Ortega,185,Manchester City,2024
Gabriel Osho,185,Luton Town,2024
Thomas Partey,185,Arsenal FC,2024
Jordan Pickford,185,Everton FC,2024
Marcus Rashford,185,Manchester United,2024
Gio Reyna,185,Nottingham Forest,2024
Declan Rice,185,Arsenal FC,2024
 Rodrigo Muniz,185,Fulham FC,2024
 Rodrigo Ribeiro,185,Nottingham Forest,2024
Jay Rodriguez,185,Burnley FC,2024
Cristian Romero,185,Tottenham Hotspur,2024
Kristian Šekularac,185,Fulham FC,2024
Antoine Semenyo,185,AFC Bournemouth,2024
Marcos Senesi,185,AFC Bournemouth,2024
James Tarkowski,185,Everton FC,2024
Danny Welbeck,185,Brighton & Hove Albion,2024
Ola Aina,184,Nottingham Forest,2024
Joshua Dasilva,184,Brentford FC,2024
Nathan Ferguson,184,Crystal Palace,2024
Ben Godfrey,184,Everton FC,2024
Daiki Hashioka,184,Luton Town,2024
James Hill,184,AFC Bournemouth,2024
 Igor,184,Brighton & Hove Albion,2024
Vitaly Janelt,184,Brentford FC,2024
Boubacar Kamara,184,Aston Villa,2024
Emil Krafth,184,Newcastle United,2024
Mario Lemina,184,Wolverhampton Wanderers,2024
 Matheus Cunha,184,Wolverhampton Wanderers,2024
 Matheus França,184,Crystal Palace,2024
 Matheus Nunes,184,Manchester City,2024
Harrison Murray-Campbell,184,Chelsea FC,2024
 Nuno Tavares,184,Nottingham Forest,2024
Michael Olise,184,Crystal Palace,2024
 Richarlison,184,Tottenham Hotspur,2024
Mads Roerslev,184,Brentford FC,2024
Pape Sarr,184,Tottenham Hotspur,2024
Heung-min Son,184,Tottenham Hotspur,2024
Joël Veltman,184,Brighton & Hove Albion,2024
Jack Walton,184,Luton Town,2024
Cauley Woodrow,184,Luton Town,2024
Naouirou Ahamada,183,Crystal Palace,2024
Sofyan Amrabat,183,Manchester United,2024
Taiwo Awoniyi,183,Nottingham Forest,2024
Jacob Bruun Larsen,183,Burnley FC,2024
Jordan Clark,183,Luton Town,2024
 David Raya,183,Arsenal FC,2024
Matthew Dibley-Dias,183,Fulham FC,2024
 Diogo Dalot,183,Manchester United,2024
Jamie Donley,183,Tottenham Hotspur,2024
Abdoulaye Doucouré,183,Everton FC,2024
Alfie Doughty,183,Luton Town,2024
Paul Dummett,183,Newcastle United,2024
 Emerson Royal,183,Tottenham Hotspur,2024
Evan Ferguson,183,Brighton & Hove Albion,2024
Alfie Gilchrist,183,Chelsea FC,2024
Ollie Harrison,183,Chelsea FC,2024
Alex Iwobi,183,Fulham FC,2024
Maxwell Kinsey-Wellings,183,AFC Bournemouth,2024
Ezri Konsa,183,Aston Villa,2024
Albert Lokonga,183,Luton Town,2024
Jamie McDonnell,183,Nottingham Forest,2024
Dwight McNeil,183,Everton FC,2024
Dermot Mee,183,Manchester United,2024
Jenson Metcalfe,183,Everton FC,2024
Divin Mubama,183,West Ham United,2024
Daniel Muñoz,183,Crystal Palace,2024
Alex Murphy,183,Newcastle United,2024
Wilson Odobert,183,Burnley FC,2024
Frank Onyeka,183,Brentford FC,2024
David Ozoh,183,Crystal Palace,2024
Ben Parkinson,183,Newcastle United,2024
Antonee Robinson,183,Fulham FC,2024
Malang Sarr,183,Chelsea FC,2024
Kevin Schade,183,Brentford FC,2024
Kamarai Simon-Swyer,183,West Ham United,2024
Matt Targett,183,Newcastle United,2024
Charlie Taylor,183,Burnley FC,2024
Harry Toffolo,183,Nottingham Forest,2024
Boubacar Traoré II,183,Wolverhampton Wanderers,2024
Reuell Walters,183,Arsenal FC,2024
Aaron Wan-Bissaka,183,Manchester United,2024
Matthew Whittingham,183,Wolverhampton Wanderers,2024
Neco Williams,183,Nottingham Forest,2024
Jordan Ayew,182,Crystal Palace,2024
Fodé Ballo-Touré,182,Fulham FC,2024
Yves Bissouma,182,Tottenham Hotspur,2024
 Bruno Guimarães,182,Newcastle United,2024
Calum Chambers,182,Aston Villa,2024
Alfie Dorrington,182,Tottenham Hotspur,2024
Christian Eriksen,182,Manchester United,2024
Conor Gallagher,182,Chelsea FC,2024
Anthony Gordon,182,Newcastle United,2024
Marc Guéhi,182,Crystal Palace,2024
Aaron Keto-Diyawa,182,Wolverhampton Wanderers,2024
Saša Lukić,182,Fulham FC,2024
Noni Madueke,182,Chelsea FC,2024
Cole Palmer,182,Chelsea FC,2024
Axel Piesold,182,Luton Town,2024
Cameron Plain,182,AFC Bournemouth,2024
Jaïro Riedewald,182,Crystal Palace,2024
Oliver Scarles,182,West Ham United,2024
Dane Scarlett,182,Tottenham Hotspur,2024
Emile Smith Rowe,182,Arsenal FC,2024
Harry Amass,181,Manchester United,2024
Lorenz Assignon,181,Burnley FC,2024
Ty Barnett,181,Wolverhampton Wanderers,2024
Conor Bradley,181,Liverpool FC,2024
Ben Chilwell,181,Chelsea FC,2024
Tawanda Chirewa,181,Wolverhampton Wanderers,2024
Ben Davies,181,Tottenham Hotspur,2024
Kevin De Bruyne,181,Manchester City,2024
David Fofana,181,Burnley FC,2024
Ryan Fredericks,181,AFC Bournemouth,2024
Joe Gardner,181,Nottingham Forest,2024
Tyrique George,181,Chelsea FC,2024
Pascal Groß,181,Brighton & Hove Albion,2024
Yunus Konak,181,Brentford FC,2024
Roméo Lavia,181,Chelsea FC,2024
Sean Longstaff,181,Newcastle United,2024
Anthony Martial,181,Manchester United,2024
Roshaun Mathurin,181,Crystal Palace,2024
Mason Mount,181,Manchester United,2024
Rhys Norrington-Davies,181,Sheffield United,2024
Chiedozie Ogbene,181,Luton Town,2024
Harrison Reed,181,Fulham FC,2024
Kaden Rodney,181,Crystal Palace,2024
 Thiago Silva,181,Chelsea FC,2024
Sandro Tonali,181,Newcastle United,2024
Andros Townsend,181,Luton Town,2024
Zach Abbott,180,Nottingham Forest,2024
Rayan Aït Nouri,180,Wolverhampton Wanderers,2024
Nathan Aké,180,Manchester City,2024
Trent Alexander-Arnold,180,Liverpool FC,2024
Michail Antonio,180,West Ham United,2024
Ollie Arblaster,180,Sheffield United,2024
Amari'i Bell,180,Luton Town,2024
Rhian Brewster,180,Sheffield United,2024
Andre Brooks,180,Sheffield United,2024
Samy Chouchane,180,Brighton & Hove Albion,2024
Mikkel Damsgaard,180,Brentford FC,2024
Tom Davies,180,Sheffield United,2024
Luc De Fougerolles,180,Fulham FC,2024
Luis Díaz,180,Liverpool FC,2024
Cheick Doucouré,180,Crystal Palace,2024
George Earthy,180,West Ham United,2024
Romain Faivre,180,AFC Bournemouth,2024
Enzo Fernández,180,Chelsea FC,2024
Alejandro Garnacho,180,Manchester United,2024
Jack Hinshelwood,180,Brighton & Hove Albion,2024
 Hugo Bueno,180,Wolverhampton Wanderers,2024
Mathias Jensen,180,Brentford FC,2024
Joseph Johnson,180,Luton Town,2024
Issa Kabore,180,Luton Town,2024
 Lucas Paquetá,180,West Ham United,2024
Solly March,180,Brighton & Hove Albion,2024
James McAtee,180,Sheffield United,2024
Ben Mee,180,Brentford FC,2024
Mikey Moore,180,Tottenham Hotspur,2024
Vitaliy Mykolenko,180,Everton FC,2024
Eddie Nketiah,180,Arsenal FC,2024
Oliver Norwood,180,Sheffield United,2024
Trey Nyoni,180,Liverpool FC,2024
Mark O'Mahony,180,Brighton & Hove Albion,2024
Detlef Osong,180,Nottingham Forest,2024
William Osula,180,Sheffield United,2024
Aaron Ramsey,180,Burnley FC,2024
Jacob Ramsey,180,Aston Villa,2024
Adam Smith,180,AFC Bournemouth,2024
Ronnie Stutter,180,Chelsea FC,2024
James Sweet,180,Arsenal FC,2024
Kenny Tete,180,Fulham FC,2024
Ollie Watkins,180,Aston Villa,2024
Timo Werner,180,Tottenham Hotspur,2024
Callum Wilson,180,Newcastle United,2024
Yegor Yarmolyuk,180,Brentford FC,2024
 Álex Moreno,179,Aston Villa,2024
Elliot Anderson,179,Newcastle United,2024
Carlos Baleba,179,Brighton & Hove Albion,2024
Josh Brownhill,179,Burnley FC,2024
 Bruno Fernandes,179,Manchester United,2024
Leo Castledine,179,Chelsea FC,2024
Maxwel Cornet,179,West Ham United,2024
Lucas De Bolle,179,Newcastle United,2024
 Diego Moreira,179,Chelsea FC,2024
Nicolás Domínguez,179,Nottingham Forest,2024
Mohamed Elneny,179,Arsenal FC,2024
Omari Forson,179,Manchester United,2024
Malo Gusto,179,Chelsea FC,2024
Lewis Hall,179,Newcastle United,2024
Reece James,179,Chelsea FC,2024
Brennan Johnson,179,Tottenham Hotspur,2024
Jefferson Lerma,179,Crystal Palace,2024
Habeeb Ogunneye,179,Manchester United,2024
Kalvin Phillips,179,West Ham United,2024
Jurriën Timber,179,Arsenal FC,2024
Ivan Toney,179,Brentford FC,2024
Kostas Tsimikas,179,Liverpool FC,2024
Max Aarons,178,AFC Bournemouth,2024
 Adama Traoré,178,Fulham FC,2024
 Andreas Pereira,178,Fulham FC,2024
 Ansu Fati,178,Brighton & Hove Albion,2024
Leon Bailey,178,Aston Villa,2024
George Baldock,178,Sheffield United,2024
Jayden Bogle,178,Sheffield United,2024
Jacob Brown,178,Luton Town,2024
Moisés Caicedo,178,Chelsea FC,2024
Ryan Christie,178,AFC Bournemouth,2024
Bobby Clark,178,Liverpool FC,2024
Arnaut Danjuma,178,Everton FC,2024
Lucas Digne,178,Aston Villa,2024
 Diogo Jota,178,Liverpool FC,2024
Kiano Dyer,178,Chelsea FC,2024
Anthony Elanga,178,Nottingham Forest,2024
Wataru Endō,178,Liverpool FC,2024
Eberechi Eze,178,Crystal Palace,2024
 Gabriel Martinelli,178,Arsenal FC,2024
Billy Gee,178,Chelsea FC,2024
Michael Golding,178,Chelsea FC,2024
Danny Ings,178,West Ham United,2024
 Jorginho,178,Arsenal FC,2024
Myles Lewis-Skelly,178,Arsenal FC,2024
Han-Noah Massengo,178,Burnley FC,2024
 Mauro Bandeira,178,Arsenal FC,2024
John McGinn,178,Aston Villa,2024
Kaoru Mitoma,178,Brighton & Hove Albion,2024
Martin Ødegaard,178,Arsenal FC,2024
Jesurun Rak-Sakyi,178,Crystal Palace,2024
 Reguilón,178,Brentford FC,2024
Andy Robertson,178,Liverpool FC,2024
Bukayo Saka,178,Arsenal FC,2024
Ishé Samuels-Smith,178,Chelsea FC,2024
Jeffrey Schlupp,178,Crystal Palace,2024
Alex Scott,178,AFC Bournemouth,2024
Ryan Sessegnon,178,Tottenham Hotspur,2024
Luke Shaw,178,Manchester United,2024
Marcus Tavernier,178,AFC Bournemouth,2024
Kyle Walker,178,Manchester City,2024
Jacob Wright,178,Manchester City,2024
Harry Arter,177,Nottingham Forest,2024
Luke Berry,177,Luton Town,2024
Séamus Coleman,177,Everton FC,2024
 Danilo,177,Nottingham Forest,2024
 Douglas Luiz,177,Aston Villa,2024
Micah Hamilton,177,Manchester City,2024
Callum Hudson-Odoi,177,Nottingham Forest,2024
Hee-chan Hwang,177,Wolverhampton Wanderers,2024
Mateo Kovačić,177,Manchester City,2024
Mohammed Kudus,177,West Ham United,2024
Giovani Lo Celso,177,Tottenham Hotspur,2024
Marvelous Nakamba,177,Luton Town,2024
 Nélson Semedo,177,Wolverhampton Wanderers,2024
Dango Ouattara,177,AFC Bournemouth,2024
Travis Patterson,177,Aston Villa,2024
James Ward-Prowse,177,West Ham United,2024
Dylan Williams,177,Chelsea FC,2024
 Yago Santiago,177,Tottenham Hotspur,2024
Ben Doak,176,Liverpool FC,2024
Lewis Dobbin,176,Everton FC,2024
 Emerson,176,West Ham United,2024
Saman Ghoddos,176,Brentford FC,2024
 João Gomes,176,Wolverhampton Wanderers,2024
Milos Kerkez,176,AFC Bournemouth,2024
Yasser Larouci,176,Sheffield United,2024
Louie Marsh,176,Sheffield United,2024
Gonzalo Montiel,176,Nottingham Forest,2024
Ethan Nwaneri,176,Arsenal FC,2024
Wesley Okoduwa,176,Wolverhampton Wanderers,2024
Ben Osborn,176,Sheffield United,2024
 Pedro Porro,176,Tottenham Hotspur,2024
Jadan Raymond,176,Crystal Palace,2024
Elliot Thorpe,176,Luton Town,2024
Youri Tielemans,176,Aston Villa,2024
Yoane Wissa,176,Brentford FC,2024
Kadan Young,176,Aston Villa,2024
Tyler Adams,175,AFC Bournemouth,2024
Simon Adingra,175,Brighton & Hove Albion,2024
Cameron Archer,175,Sheffield United,2024
Shandon Baptiste,175,Brentford FC,2024
Jarrod Bowen,175,West Ham United,2024
 Bryan Gil,175,Tottenham Hotspur,2024
Nathaniel Clyne,175,Crystal Palace,2024
Toby Collyer,175,Manchester United,2024
Lewis Cook,175,AFC Bournemouth,2024
Josh Cullen,175,Burnley FC,2024
Amadou Diallo,175,Newcastle United,2024
Pervis Estupiñán,175,Brighton & Hove Albion,2024
 Gabriel Jesus,175,Arsenal FC,2024
Jack Grealish,175,Manchester City,2024
Jack Harrison,175,Everton FC,2024
Tim Iroegbunam,175,Aston Villa,2024
Louis Jackson,175,Manchester United,2024
Ben Johnson,175,West Ham United,2024
Kaine Kesler-Hayden,175,Aston Villa,2024
Luca Koleosho,175,Burnley FC,2024
Rico Lewis,175,Manchester City,2024
Max Lowe,175,Sheffield United,2024
James Maddison,175,Tottenham Hotspur,2024
 Mahamadou Susoho,175,Manchester City,2024
Kobbie Mainoo,175,Manchester United,2024
Lisandro Martínez,175,Manchester United,2024
James Milner,175,Brighton & Hove Albion,2024
Tyrick Mitchell,175,Crystal Palace,2024
Pelly-Ruddock Mpanzu,175,Luton Town,2024
Mykhaylo Mudryk,175,Chelsea FC,2024
Reiss Nelson,175,Arsenal FC,2024
Christopher Nkunku,175,Chelsea FC,2024
Cameron Peupion,175,Brighton & Hove Albion,2024
Mo Salah,175,Liverpool FC,2024
Oliver Skipp,175,Tottenham Hotspur,2024
 Vitinho,175,Burnley FC,2024
Lewis Warrington,175,Everton FC,2024
 Willian,175,Fulham FC,2024
Ashley Young,175,Everton FC,2024
Oleksandr Zinchenko,175,Arsenal FC,2024
Miguel Almirón,174,Newcastle United,2024
Harvey Barnes,174,Newcastle United,2024
Facundo Buonanotte,174,Brighton & Hove Albion,2024
Vladimír Coufal,174,West Ham United,2024
Tommy Doyle,174,Wolverhampton Wanderers,2024
Idrissa Gueye,174,Everton FC,2024
Alexis Mac Allister,174,Liverpool FC,2024
 Pablo Sarabia,174,Wolverhampton Wanderers,2024
Dominic Sadi,174,AFC Bournemouth,2024
 Thiago,174,Liverpool FC,2024
 Bernardo Silva,173,Manchester City,2024
 Cucurella,173,Chelsea FC,2024
Amad Diallo,173,Manchester United,2024
Julio Enciso,173,Brighton & Hove Albion,2024
Lucas Bergström,205,Chelsea FC,2023
Dan Burn,201,Newcastle United,2023
Fraser Forster,201,Tottenham Hotspur,2023
Paul Onuachu,201,Southampton FC,2023
Saša Kalajdžić,200,Wolverhampton Wanderers,2023
Asmir Begović,199,Everton FC,2023
Jannik Vestergaard,199,Leicester City,2023
Wayne Hennessey,198,Nottingham Forest,2023
Illan Meslier,198,Leeds United,2023
Nick Pope,198,Newcastle United,2023
Harry Souttar,198,Leicester City,2023
Radek Vítek,198,Manchester United,2023
George Wickens,198,Fulham FC,2023
 Joel,197,Leeds United,2023
 Robert Sánchez,197,Brighton & Hove Albion,2023
Wout Weghorst,197,Manchester United,2023
Reece Welch,197,Everton FC,2023
Tosin Adarabioyo,196,Fulham FC,2023
Kristoffer Ajer,196,Brentford FC,2023
Jack Butland,196,Manchester United,2023
Josh Feeney,196,Aston Villa,2023
Darko Gyabi,196,Leeds United,2023
Pontus Jansson,196,Brentford FC,2023
Tyrone Mings,196,Aston Villa,2023
Kieffer Moore,196,AFC Bournemouth,2023
Robin Olsen,196,Aston Villa,2023
Alphonse Aréola,195,West Ham United,2023
Willy Boly,195,Nottingham Forest,2023
Sven Botman,195,Newcastle United,2023
Emiliano Martínez,195,Aston Villa,2023
Joel Matip,195,Liverpool FC,2023
Yerry Mina,195,Everton FC,2023
Amadou Onana,195,Everton FC,2023
Gianluca Scamacca,195,West Ham United,2023
Rhys Williams,195,Liverpool FC,2023
Benoît Badiashile,194,Chelsea FC,2023
Issa Diop,194,Fulham FC,2023
Erling Haaland,194,Manchester City,2023
